0	625509021097684992	_prejudiced	keep defending terrorists, keep signing mercy petitions for dem &amp; dey'll keep showing their love like dis! #Shame #GurdaspurAttack	inside all of us is a wild thing.	300	1	1
7/27/2015 7:28:30	625568427302780928	TahaMuneeb00	#GurdaspurAttack is a reminder that India is imploding with various separatist movements, #Khalistan struggle seems to be revived now	masool (head) - rabta o tanzeem - social media operations @jamatdawah's cyber team - tweets personal/unofficial - rt's not endorsements	612	1	1
7/27/2015 7:29:48	625568757004382208	OfficeOfPappu	Paki ISI behind #GurdaspurAttack, protest against Pakistan as they again trying to divide india by atackng #Gurdaspur http://t.co/iMY79gEq1e	#ripkalam	808	1	1
7/27/2015 7:32:30	625569433491128320	Leopard212	1 What time did news of #GurdaspurAttack FLASH? 2 What time did above news reach twitter? 3 What time did Pakis flash #ModiAttacksGurdaspur	endangered. militarily crazy. traveller. eat. drink. make merry. you abuse, i block. maintain files on everyone. non sibi sed patriae *never abuse my troops*	4676	1	0
7/27/2015 7:39:48	625571274270507008	blunt_comment	Seems der is no co-ordination betwen eminent #AdarshLiberals . #GurdaspurAttack happens whn bastards seeking SC relief for #YakubMemon #fail	india reinvented its democracy in 2014. spent exploring it in 2015. lets use it in 2016 for collective better. hny2016	359	1	0
7/27/2015 7:41:58	625571815725776896	Aks9009Pa	@BihariTweeter Dead TERRORIST #GurdaspurAttack Doesn't look a Khalistani, but more of a Jihadi @coolfunnytshirt http://t.co/QWpvpF3qFn	| sitting on extreme #right | admire #namo | #bjp supporter | colour of blood is #saffron | more information is available on highway no 9 |	1623	1	1
7/27/2015 7:46:14	625572890667126784	Jha_Sudhar	Now dey say give reply to terrorist but after givin replies dey cry (in ref to yakub memon). #AdarshLiberals #GurdaspurAttack #Gurdaspur	im interested in music, sports, etc.	347	1	0
7/27/2015 7:50:00	625573838437265409	cool_only	7 thullas died so far.. @ArvindKejriwal is thinking of the compensation amount to be announced later on #GurdaspurAttack #AAPWithTerrorists	indian first...support bjp under the dynamic leadership of namo...guaranteed follow back...rt r nt endorsement	347	1	0
7/27/2015 7:53:46	625574789063835648	Nir_27	Why aren't defense forces using @sagarikaghose as shield against terrorists? #GurdaspurAttack #Isn't it hurting secular fabric? #Gurdaspur	,   ,     ||	6539	1	0
7/27/2015 7:53:46	625574789047001088	Team_HDL	Why aren't defense forces using @sagarikaghose as shield against terrorists? #GurdaspurAttack #Isn't it hurting secular fabric? #Gurdaspur	facebook: http://t.co/ds957kagka email: join@hdlindia.org | team@hdlindia.org | report@hdlindia.org follow: @hdlindiaorg	2655	1	0
7/27/2015 7:53:46	625574789034442752	HDL_J_K	Why aren't defense forces using @sagarikaghose as shield against terrorists? #GurdaspurAttack #Isn't it hurting secular fabric? #Gurdaspur	25 years in exile | we will never forget | in operation with @hdlindiaorg @techxoticated	419	1	0
7/27/2015 7:55:02	625575107713368064	Shi_ril	Terrorists are coming from Pakistan &amp; killing #Indian. #bollywood is importing paki actors &amp; #govt. Is not doing anything. #GurdaspurAttack	i'm what i am. lets talk about you?	10	1	1
7/27/2015 7:55:11	625575144111632384	Team_HDL	Why aren't defense forces using @RanaAyyub as shield against terrorists? #GurdaspurAttack #Isn't it hurting secular fabric? #Gurdaspur	facebook: http://t.co/ds957kagka email: join@hdlindia.org | team@hdlindia.org | report@hdlindia.org follow: @hdlindiaorg	2655	1	0
7/27/2015 7:55:11	625575144094875648	HDL_J_K	Why aren't defense forces using @RanaAyyub as shield against terrorists? #GurdaspurAttack #Isn't it hurting secular fabric? #Gurdaspur	25 years in exile | we will never forget | in operation with @hdlindiaorg @techxoticated	419	1	0
7/27/2015 7:55:11	625575144094846976	Nirr_27	Why aren't defense forces using @RanaAyyub as shield against terrorists? #GurdaspurAttack #Isn't it hurting secular fabric? #Gurdaspur	standby account of @nir_27 ! soldier of #hdl ! धर्मो रक्षति रक्षितः	453	1	0
7/27/2015 8:14:52	625580098788265984	zahidshahzaib	Terrorism has no religion.. Strict steps should be taken for eradication.. #GurdaspurAttack #PunjabTerrorStrike	final year medical student. mb;bs session (2010-2015) punjab medical college faisalabad. cadet college hasan abdal alumna. almost one quarter-of-century old.	384	1	0
7/27/2015 8:15:09	625580169311334400	handle_anonymus	So Chopped dick people of Religion of Peace are again spreading peace; this time in Punjab. #Gurdaspur #GurdaspurAttack		1	1	0
7/27/2015 8:22:23	625581989102391300	blunt_comment	1s #GurdaspurAttack perpetrators identified v w know whether ds terror had religion (Sikhs) or NoReligion (Fidayeen) https://t.co/YGw4rQW0wI	india reinvented its democracy in 2014. spent exploring it in 2015. lets use it in 2016 for collective better. hny2016	359	1	2
7/27/2015 8:23:16	625582209949302784	MyView_MyLife	Can #40PigsWithTerrorist&amp; #AAPwithTerrorists#AntiNational answer to families of police who died for the Nation. #GurdaspurAttack	will condem unethical practices. against any form of extremism. 2 terrorist religion are killing each other. rt not endorsement	231	1	0
7/27/2015 8:24:07	625582425884762112	TyrionSinister	@JP_LOKSATTA Why are we not using army to kill Let jihadis. Police is not equipped to fight these cross border ISlamist #GurdaspurAttack		623	1	1
7/27/2015 8:27:51	625583364171517953	khalistan8	LIVE LONG #Khalistan and #AAP .. #Kejriwal MORE SUPPORT #Khalsa Force.. Hindu says that #AAPwithTerrorists #Gurdaspur #GurdaspurAttack	#neverforget84 sikh,are,not,hindu khalistan is our determination #india is terrorist. thanks 4 support #aap #kashmiris #pakistan #bangladesh	719	1	2
7/27/2015 8:29:48	625583853529227264	ParagRudani	Tonight we all will here in TV debate or in Twitter by #AdarshLiberals " Terror has no religion " #GurdaspurAttack		14703	1	0
7/27/2015 8:29:52	625583871287955456	Aakash__Diwan	@adgpi #PunjabPolice Capture Paki Non State Actors AKA "COWARDS" &amp; @HMOIndia should NAIL Pak with evidence of #GurdaspurAttack #Gurdaspur	born: army brat, religion: humanity, nationality: indian... period!!	97	1	0
7/27/2015 8:30:20	625583990662017028	AdeebMC	#GurdaspurAttack It is high time our political parties got together to chalkout plan for eliminating separatist and Maoist threats..		23	1	0
7/27/2015 8:30:52	625584123663355905	PursuitThyLife	People like AAPtards,anti-national Congress &amp; sickular idiots should be beaten black n blue for politicizing #GurdaspurAttack #Gurdaspur		20	1	0
7/27/2015 8:31:40	625584325598142464	frustmourne	Thanks 2 our #presstitutes commie politicians #adarshlibrals we'll know more about a murderer's family dan our braveheart's #GurdaspurAttack	if u follow me thinking that i will reciprocate that then you are at wrong place dear. bleed yellow	33	1	0
7/27/2015 8:33:12	625584710178185216	kvQuote	#shame on @INCIndia, not the right time or issue for such protest! #GurdaspurAttack #Gurdaspur https://t.co/5ckh1efA84	sy hppy! spred hppe!  #quotes #politics #tfb positive thinker/ sales professional '   ! rts r not endorsement #livelifelovelife	85315	1	0
7/27/2015 8:36:09	625585451336732672	thegodlymonster	#Presstitutes mst hv strted cooking up different version of story on #GurdaspurAttack to save next Yakubs frm hanging. @bjp4india	you have got to be 'odd' to be no.1, while i am 'even'ly poised.	48	1	0
7/27/2015 8:40:31	625586551934705664	thegodlymonster	All India Sickular Association, #Presstitutes &amp; #Paidmedia agents hv invited sugstns 4 cooking up a nw story ovr #GurdaspurAttack @bjp4india	you have got to be 'odd' to be no.1, while i am 'even'ly poised.	48	1	0
7/27/2015 8:43:47	625587374848737281	Saffron_Shekhar	Not a single word uttered by those who signed mercy petition for #YakoobMemon on Terror Strike in #GurdaspurAttack .#Shame	#books, #ghazal, #politics, #hindu, #gita, #satire & yes, shri @narendramodi follows me. rt may be an endorsement.	1756	1	0
7/27/2015 8:44:13	625587484248838144	archisb	#GurdaspurAttack And some sickulars asking to covert Yakub Menon's death sentence into life imprisonment. #Sickulars	a proud indian and a proud hindu.	17	1	0
7/27/2015 8:44:27	625587539974328320	India_Speaks_	@mediacrooks @Nisha_Hindu @drunk_bull @Swamy39 Hence proved that Islam is a religion PO peace. #GurdaspurAttack http://t.co/7MsgfLohSl	proud nationalist hindu. life long member of iskcon . hinduism, rss, rw. narendra modi fan. hare krishna.	473	1	2
7/27/2015 8:50:25	625589042919256064	re_sah	@ANI_news @Nisha_Hindu *Well practice on #GurdaspurAttack ,they all r relatives of Thullu #AapwithTerrorists!!!	jay sri ram	124	1	1
7/27/2015 8:51:06	625589215154307072	b0parai	Where is mr vinod khanna .. No comment from his side .. People has elected him #shame #GurdaspurAttack @DIG_saaab @bhagwantmann @HMOIndia	student + farmer	80	1	1
7/27/2015 8:51:42	625589367646490629	Path4Destiny	Why #pakis commenting on #GurdaspurAttack? Are they trying to cover the fact that they were pak trained militants? #PakistaniPeopleNotSoPak	#typicalcancerian #a_story #dreamer #lovemytattoo #mediaperson	116	1	1
7/27/2015 8:52:22	625589532486987776	BramhaKamal	#AAPwithTerrorists This was only a fortnight before the #GurdaspurAttack. Were final plans being confirmed? http://t.co/GYzgrV0b5u	proud indian || born a hindu || w bengali || || surgeon || || emergency specialist || || || and yeah, i am a bhakt, a deshbhakt ||	586	1	1
7/27/2015 8:52:23	625589537264283648	sreeramchaulia	#GurdaspurAttack takes us back to square one with #Pakistan. Vicious attack on Hindu pilgrims. #nawazsharif rendered irrelevant by Army	world affairs analyst and author, professor & dean at the jindal school of international affairs, india	495	1	1
7/27/2015 8:53:55	625589923203018752	kshatraani	#shame on the crook minister Somnath Bharti who politicized the #GurdaspurAttack #AAPwithTerrorists http://t.co/zBP768BJdD	hinduism - the way of life.	1627	1	0
7/27/2015 8:54:37	625590099376353280	_nitinyadav_	Commendable work by Punjab Thullas in confining the terrorists without any help.They minimised the loss #AAPwithTerrorists #GurdaspurAttack	an engineer & environmentalist. tweet about what matters india internally & globally. i prefer appreciating actions rather than personalities. rts = endorsement	256	1	0
7/27/2015 8:56:27	625590563849437184	attyagi07	#GurdaspurAttack now owasi will say hindu soldiers n policemen killed '' bechare gareeb muslim terrorist in punjab '' !!!		0	1	1
7/27/2015 8:59:06	625591229783261184	anupamamathur1	Radical Muslims want to behead u ,moderate Muslims want radical Muslims to behead you n liberals want to save thm .result. #GurdaspurAttack	no dm pls..	1252	1	1
7/27/2015 9:00:02	625591463678644225	sachinblunt	Sc agrees to hear #YakubMemon plea for staying execution. Nahi badlega #India #GurdaspurAttack #Shame	we need to learn to treat our own brain better - understanding how it works will help us do that. - richard bandler	84	1	1
7/27/2015 9:00:33	625591593437794304	ColDjsingh	@gitaSkapoor #GurdaspurAttack pakis strike deep inside disheartening to c Italian worshippers behaving in LS! those disgusting AAP ad on TV?	retd from army!!	124	1	1
7/27/2015 9:02:23	625592055616532480	pandeymohit	Hey #Sickulars, file ur mercy petition in advance for these terrorists! #GurdaspurAttack	law, politics, bjp, india. former state cricketer, upcoming lawyer.	62	1	1
7/27/2015 9:03:56	625592443145072641	ravei303	https://t.co/uoGtyCgQ8r For All Extremists #Fools frm #India and #Pakistan on #Gurdaspur Khalistan pseudo causes #GurdaspurAttack	filmmaker.be blessed )	127	1	0
7/27/2015 9:07:30	625593343053959168	KumarAshokvaj	#GurdaspurAttack it was our mistake as wrong Forign Policy to stop talks due not to terrorism but to involvement of separatist now in party	male	17	1	0
7/27/2015 9:19:18	625596311799115777	brownbrumby	If #GurdaspurAttack is by Kashmiri separatists then its a security lapse only but if Khalistan separatists r involved then much bigger issue	tweets about indian politics & society | centre-left | rt  endorsement | minority rights | using @brumbyoz for interactios	16899	1	1
7/27/2015 9:28:08	625598536466350080	KKK78888	@Meenu_71 @ksmsundaram1975 Reached "Jahanum" to get 72 hoors in #GurdaspurAttack #AapWithTerrorists start Rudali. http://t.co/L4i4JFZTfh		971	1	0
7/27/2015 9:28:53	625598724639621120	KKK78888	@aajtak Reached "Jahanum" to get 72 hoors in #GurdaspurAttack #AapWithTerrorists start Rudali. http://t.co/L4i4JFZTfh		971	1	0
7/27/2015 9:29:31	625598882823548928	ManikantKant	Is there any connection between Aap and Paki ISI jehadi sponsored terrorists at #Gurdaspur ? #GurdaspurAttack	proud bharatiya. india first, india foremost. modi supporter. also his fierce critic since 16may2014. bharat mata ki jai . rt not endorsement.	719	1	0
7/27/2015 9:29:58	625598997525172224	KKK78888	@kumarmangal81 @anilkohli54 Reached "Jahanum" to get 72 hoors in #GurdaspurAttack #AapWithTerrorists start Rudali. http://t.co/L4i4JFZTfh		971	1	0
7/27/2015 9:34:25	625600118415175680	tufailelif	#GurdaspurAttack Do not forget: The United States is arming the jihadist state of Pakistan with money and weapons.	author and commentator on south asian current affairs; ex-bbc journalist, countering everyday islamism; views grounded, rts  endorsement.	11359	1	1
7/27/2015 9:36:04	625600532372033536	tufailelif	#GurdaspurAttack It is time India developed some appetite for war against the Pakistani jihadist state.	author and commentator on south asian current affairs; ex-bbc journalist, countering everyday islamism; views grounded, rts  endorsement.	11359	1	0
7/27/2015 9:38:06	625601044173553664	pvk_krishna	@ShatruganSinha @NaseerudinShah #Yechuri @MaheshNBhatt already in talks on how to file #MercyPetition for #GurdaspurAttack #AdarshLiberals	i am a software engineer, movie buff and love to read a lot ...	140	1	0
7/27/2015 9:40:21	625601607548309504	sudhica84	Dear #GurdaspurAttack attackers surrender #AdarshLiberals vil gets u mercy petition https://t.co/fZvgZvfVmK	msc maths & stats ca aspirant bit loose tweets r mine rt not. follow @ ur own risk	1216	1	0
7/27/2015 9:40:38	625601681858801664	kush07	The way Indian Army is approaching the Mopping Ops of #GurdaspurAttack, its evident they want at least one #TerrorRat alive #Pakis worried?	opinions do matter. what is told to you is almost never the truth. use those grey cells to figure out the truth.	2763	1	0
7/27/2015 9:40:52	625601740641964032	puruohit	#GurdaspurAttack It is time India developed some appetite for war against the Pakistani jihadist state #___ #___	,	168	1	0
7/27/2015 9:41:05	625601792697438209	DrAVarma	Batla House Encounter was FAKE says @ArvindKejriwal b4 Muslim voters. #GurdaspurAttack #AAPwithTerrorists 1/2	rt not endorsments n views personal	479	1	0
7/27/2015 9:43:28	625602395058237444	Being_Bhardwaj	So where are the candle dp secular peacelovers today?! Or it was only for muslims?! #GurdaspurAttack #Sickulars	#nationalist | #punjabi | #namofan | #engineer | #fanbhagatsinghda | #seculars, #aaptards & #follow4follow वाले ज़रा दूर ही रहें!!	2279	1	2
7/27/2015 9:43:29	625602396551417856	tufailelif	#GurdaspurAttack This is a known enemy: At this point, Hafiz Muhammad Saeed is recruiting jihadists in Burmese refugee camps of Indonesia.	author and commentator on south asian current affairs; ex-bbc journalist, countering everyday islamism; views grounded, rts  endorsement.	11359	1	1
7/27/2015 9:44:00	625602526453174272	jassi678	#GurdaspurAttack Support our troops to fight this evil named terror. Terror has no religion, so the terrorist. Kill them. @IndianExpress	success comes from struggle.	330	1	0
7/27/2015 9:46:28	625603147528941568	kush07	#Pakis wouldn't want another #AjmalKasab #GurdaspurAttack will directly get linked to #Pakis if we get hold of a #TerrorRat	opinions do matter. what is told to you is almost never the truth. use those grey cells to figure out the truth.	2763	1	0
7/27/2015 9:47:37	625603439209230336	NasirAK786	Real face of Hindu terror unleashed! #Gurdaspur #GurdaspurAttack #ModiAttacksGurdaspur http://t.co/5q2hi0RCa2	ml, poo, love p ary, pd  troll ido d ldo. p zdd	442	1	0
7/27/2015 9:48:39	625603699453263872	tufailelif	#GurdaspurAttack Know your enemy: Pakistani military's ISI is a global jihadist organization. Every security analyst knows. #ISI	author and commentator on south asian current affairs; ex-bbc journalist, countering everyday islamism; views grounded, rts  endorsement.	11359	1	1
7/27/2015 9:50:39	625604201150713856	tufailelif	#GurdaspurAttack In 1999, the Pakistan state hijacked Indian Airlines plane IC814 to Kandahar, and we blame it on some innocent jihadists.	author and commentator on south asian current affairs; ex-bbc journalist, countering everyday islamism; views grounded, rts  endorsement.	11359	1	1
7/27/2015 9:51:58	625604531158544384	tufailelif	#GurdaspurAttack We honoured General Pervez Musharraf, the architect of Kargil war, arguably the biggest jihadist war against India.	author and commentator on south asian current affairs; ex-bbc journalist, countering everyday islamism; views grounded, rts  endorsement.	11359	1	1
7/27/2015 9:53:32	625604925490200578	tufailelif	#GurdaspurAttack Tell the US ambassador in New Delhi: your government is arming a jihadist state on our borders with money and weapons.	author and commentator on south asian current affairs; ex-bbc journalist, countering everyday islamism; views grounded, rts  endorsement.	11359	1	1
7/27/2015 9:53:56	625605026648461312	MediaVsIndia	I'm sad, instead of being upset over #GurdaspurAttack, our #BJP speaker is upset with a random #congressi! #Shame https://t.co/WVohiyPFvM	indian media is india's enemy no. 1. sooner you understand, better. formerly @tweet_mit.	5020	1	1
7/27/2015 9:55:57	625605534335397888	vishuspeaks	#GurdaspurAttack is a cowardly act by Pakis. @manoharparrikar Lifes Sacrificed by Martyrs Shouldn't Go Unnoticed. Nail these terrorists ASAP	research analyst @firstrain | volunteer @himachalhotspot @himachalw @searchdonors @thenewsnow24 my nation, my pride; life is open, nothing to hide	194	1	1
7/27/2015 9:55:59	625605545492267008	Samsara4747	So Muslim terrorists have succeeded in killing more Indians #GurdaspurAttack RIP	hindu nationalist,a follower of advaita vedanta	538	1	1
7/27/2015 9:56:58	625605792805163008	chintanmistry4	Terrorism : a cowardly activities from cowards.!! #shame. #GurdaspurAttack	love to read poems #bollywoodlover #movieholic sc: chintiiee_snaps ig: chintiiee	289	1	1
7/27/2015 9:59:36	625606452334366724	RobilSingh	#Shame Our politicians are busy in fighting with each other while our Jawans are fighting with deadly terrorists #GurdaspurAttack #Gurdaspur	|software engineer|politics|sports| @narendramodi | #atlticodekolkata #barca #chelsea #kxip #mi |social freedom| born rajput but atheist|	395	1	1
7/27/2015 10:02:06	625607081270231040	tufailelif	#GurdaspurAttack Indian people stand with the people across the border, not with the jihadist state of Pakistan. ISI is a jihadist group.	author and commentator on south asian current affairs; ex-bbc journalist, countering everyday islamism; views grounded, rts  endorsement.	11359	1	1
7/27/2015 10:04:41	625607732238811137	puruohit	#GurdaspurAttack In 1999, the Pakistan state hijacked Indian Airlines plane IC814 to Kandahar, and we blame it on some innocent jihadists.	,	168	1	1
