4/25/2015 8:28:42	591881506991132672	tweeteringuise	Evangelists begin prowling #NepalEarthquake https://t.co/RKVpXO9DpC	just another tweeter. tweets and rts may not confirm with your perception of morality.	94	1	1
4/25/2015 14:29:11	591972224845750272	srijai	Evangelist Vultures have smelt their prey #NepalEarthquake https://t.co/0RgULqnASl	ecom, it & proj mgmt consultant. teacher of sanskrit & vedanta. healer & therapist. sishya of swami dayananda saraswati, iit-bhu, arsha vidya gurukulam alumnus	269	1	0
4/25/2015 14:31:34	591972824337620993	skseosolutions	Nepal kicks off religious festival by slaughtering 5,000 buffalo http://t.co/A3z5QWnNvI via @MailOnline #NepalEarthquake #earthquake		33	1	0
4/25/2015 14:41:01	591975201497157632	RajeevSrinivasa	Christian fundamentalists are indistinguishable from isis #NepalEarthquake https://t.co/7hRy7pAZkj	columnist (rediff, firstpost, swarajya, ex dna, pioneer). interests: tech, biz, energy, health, ipr. ex-silicon valley. iitm/stanford. original internet hindu	6144	1	1
4/25/2015 14:52:36	591978117977149440	ShriRajKashyap	#NepalEarthquake terrible tragedy. This'll bring tragedy of another kind: missionary swarm - they thrive on widespread misery. Help Heathens		129	1	1
4/25/2015 14:58:02	591979484749770756	vaishalidbhatt	Donate to #NepalEarthquake through http://t.co/jCCUXe6lmd only.Avoid any NGO or #presstitutes like @ndtv @aajtak or other supporting NGO.	spirited lazy, crazy for shoes, watch and purses. a proud hindu. dream of having 2 children, one in army, one for rss.rt no endorsement.	9715	1	0
4/25/2015 15:00:05	591980002498875392	DearRanjeeta	#NepalEarthquake #NepalQuakeRelief Only give donations to PMO relief funds.All NGOs are frauds to convert people. https://t.co/rYuPhg7vgy	death destined  life bond	290	1	0
4/25/2015 15:00:07	591980010228961280	Udeshjusejaa	#NepalEarthquake @witchybitchygal See how these missionaries are going inhuman day by day. Worst people. http://t.co/IUMCVNdWEN	chai addict.not good at writing bio's.hindu nationalist.	71	1	0
4/25/2015 15:00:34	591980124771381248	RohitRudraJohri	One more of the #Presstitutes trying to gain some traction on social media #NepalEarthquake https://t.co/Z6ukYLtmu7	,   ,   ,	209	1	0
4/25/2015 15:10:55	591982728209281025	BongMusings	Missionaries and leftist thugs are salivating on this enormous human tragedy, time for Conversion and loot from donations. #NepalEarthquake	shonaar bangla firye aante hobe. optimistc on the change. believer of right wing ideology. happy to be not secular.	155	1	0
4/25/2015 15:14:13	591983556848562176	pthaker17745	#NepalEarthquake we must introspect our act(karma) on holly land. The long going religious acts must be reframed in nature friendly atmosph		8	1	0
4/25/2015 15:20:00	591985011743588352	noconversion	Xtian Missionaries have huge plan to use Earthquake in Nepal as conversion oppt. Hindus Please rise up Support Nepal #NepalEarthquake	my main goal is to expose & stop fraud hindu conversions by christian missionaries in india & nepal	12770	1	1
4/25/2015 15:22:00	591985518209998850	anantfinity	The immorality &amp; greed of religious fanatics! @MichaelCatt #NepalEarthquake #NepalQuake #Nepal http://t.co/1r9SVDdMys	unwrapping the universe, with exceptional people like you.	496	1	0
4/25/2015 15:24:01	591986023615234048	mamtan14	It Takes sad Calamity to expose de hatred of Bigots...both Religions of 'Piece' &amp; Love.Such Losers!#NepalEarthquake http://t.co/8F2f53m1gK	foodie..frequenttravellr..wanderer..dreamer...secular.. !!! modi bhakt !!! internethindu ;p	16290	1	0
4/25/2015 15:24:09	591986056515297280	RW_HITMAN	Christian scum missionaries and Bastard followers are trying to use #NepalEarthquake as conversion opportunity.	those who belive in gandhi teaching of presenting other cheek when slapped should also present their sisters to rapist in case wife was already raped.	6614	1	1
4/25/2015 15:33:05	591988305941680128	AgentSaffron	Another Psychopath Christian predator who brazenly states his foul intentions. #NepalEarthquake http://t.co/HyTYrsEhov	your hate makes us grow	7795	1	1
4/25/2015 15:33:05	591988304830189568	secular786	.@noconversion @DrShobha Hindus &amp; Muslims must donate to @RSSorg to ward-off #EvanJihadis! #NepalEarthquake	aurangzeb is the secular father of india.	609	1	2
4/25/2015 15:35:12	591988837330526208	subodhdgame	Dear Christian Missionaries using the plight of victims of #NepalEarthquake for conversion activities, just wanna say one thing #AakThuuu.	yeh bio kya hota hai.???	31	1	1
4/25/2015 15:40:27	591990159698100225	syamjee	See how born stupid journalists behave whn ppl r in distress. Wht else to expect frm #Presstitutes ? #NepalEarthquake http://t.co/07oAUBJrCu	a scotch whiskey lover... statutory warning: following or reading my tweets are your risk.	405	1	1
4/25/2015 15:45:50	591991514324017152	syamjee	#NepalEarthquake and Indian #Presstitutes http://t.co/rfAnwDoPdA	a scotch whiskey lover... statutory warning: following or reading my tweets are your risk.	405	1	0
4/25/2015 15:51:38	591992973153275904	SardaarKhan	#RSS Volunteers have reached #Nepal. #AdarshLiberals tweeting. U Choose. #NepalEarthquake	.  !!..          ....    ...	1957	1	0
4/25/2015 15:52:25	591993170059079681	HMOULI	@upma23 @SUNNY291056 @VipulBarthwal @gary_1980in @mayaniranjan &amp; wt hv these #AdarshLiberal done during #NepalEarthquake Zilth	banking professional	142	1	0
4/25/2015 15:54:32	591993704094695426	munnnabai	CHURCH has 6 letters so does MOSQUE &amp; TEMPLE. BIBLE has 5 letters so does QURAN &amp;GEETA. #RespectAllReligion #NepalEarthquake	views expressed here are entirely in personal capacity.all copy paste. rts not endorsements. twitter should improve your life , not become your life	1801	1	2
4/25/2015 15:55:46	591994016662556672	JDhwani	When thousands are striving for their life in #NepalEarthquake the missionary vultures have another plan. Shame Rgds. http://t.co/AlECczGSTv	rss swayamsevak, studying law & social activist.	527	1	1
4/25/2015 15:56:25	591994176666898433	HinduRajyam	@MichaelCatt Fuck off u bloody christian missionary bastard! #IndiaWithNepal #Nepal #India #NepalQuakeRelief #NepalEarthquake @dharam_vj	om namo venkateshaya namaha.establishing hindu rashtra shud be the immediate goal of every hindu! follow @noconversion	11960	1	1
4/25/2015 15:57:05	591994348159508481	BduttDutt	Khuni Modi is responsible for earthquake in Nepal,he visited Nepal few months ago ,U will run some debates #NepalEarthquake #Presstitutes	made career out of bashing modi , achievement #radiatape creating fear mongering amongst minorities since 2002 tweets are endorsements of mullahs n missionaries	31	1	1
4/25/2015 15:57:27	591994440329220096	HMOULI	@mayaniranjan havent heard a single #Presstitutes like you donating a single Re for the #NepalEarthquake	banking professional	142	1	1
4/25/2015 15:59:18	591994905938931712	sajithpattath	#NepalEarthquake Nepal is now vulnerable to China and Evangelists. Modi needs to move swiftly.	swayamsevak & it professional based in bengaluru	45	1	0
4/25/2015 16:14:04	591998619890241536	Keisar_	This #NepalEarthquake has bought stupidest Brands, desperate Websites, vulture Missionaries and sick twisted Presstitutes out in the open.	polytheist, because putting all my faith in 'one god' is too risky.	12668	1	0
4/25/2015 16:16:08	591999140558692353	HinduMystic	Soul Harvesters.. Merchants of Death !!! #NepalEarthquake	founder and admin ☯ ::facebook-hinduism demystified::☯	166	1	0
4/25/2015 16:17:28	591999475977211904	TPrasad_7	NRIs, plz donate to Hindu charities&gt; @sewausa,@SewaUK,@IDRF_U "@India_Policy: Evangelical vultures. #NepalEarthquake http://t.co/kR9lKBisep"	follow dharma, period. a hindu, telugu native, engr by edu, it professional by career, indian by heart. rts  endorsements. #health #yoga #natural #politics #it	776	1	0
4/25/2015 16:21:29	592000488117313536	TPrasad_7	.@sathisamirdesai RSS doesn't ask hapless victims to convert in order to get help. Evangelical vultures do. #NepalEarthquake @India_Policy	follow dharma, period. a hindu, telugu native, engr by edu, it professional by career, indian by heart. rts  endorsements. #health #yoga #natural #politics #it	776	1	1
4/25/2015 16:23:00	592000870050476032	prasha3173_	#IndiaWithNepal Pappu visited Kedarnath, and here we are Lord Shiva wrath..!!:D .In this calamity we stand with Nepalese. #NepalEarthquake	trying to ramble with 140 words...a sluggish responser..... a student researcher...secular mix thoughts...	34	1	0
4/25/2015 16:26:00	592001621363695616	ConvenienceBest	Who are the folks really happy about the devastating #NepalEarthquake ? AAP n Evangelists.	favor anti-conversion law and ucc, dislike andhbhakti of politicians. usu. rt what i feel is correct, but still rt not = endorsement.	81	1	1
4/25/2015 16:26:33	592001760568311809	NiloyOfficial	We think we are in control, whereas we should remember who is in control. So turn to Allah, before you return to Allah #NepalEarthquake	we won't be here forever, because our real home is in jannah. chelsea fc since 2006.	119	1	0
4/25/2015 16:34:45	592003827001229312	HeidiHarrisShow	Wow. Some are referring to missionaries headed to #NepalEarthquake as "vultures"? Rejecting help if it comes from a Christian? #Intolerance	saved by grace. married to prince charming. rescue dog mom. paid to talk for 16 yrs. weeknights 6-7 pm on am 790 kbet in vegas. principle, not propaganda.	2483	1	1
4/25/2015 16:36:57	592004380758560768	alilog100	#NepalEarthquake prayers for all those affected. Devastating news. Christ have mercy	living in rural county down. what's important - faith, family, friends, food, forgiveness and felines (!) :)	1103	1	2
4/25/2015 16:41:52	592005615511187457	shitty_politics	Go help #NepalEarthquake victims in need instead of forcing your religion on millions of americans. #March4Marriage. bigots.	former republican, pointing out why i am not one anymore.	8	1	1
4/25/2015 16:43:32	592006037638623232	AnjaliGorg	True face of #SoulScavengers Humanitarian aid is means for Religious conversion #ChristianTerror #NepalEarthquake http://t.co/MZlbyaiMoH	★ the only thing that makes life possible is permanent, intolerable uncertainty; not knowing what comes next ★ ★rts, favs & quotes don't mean endorsement ;) ★	3705	1	1
4/25/2015 16:46:48	592006856492486656	pradipkumar253	@Moskvaa They are official partners of Christian Conversion missionary mafia. Now funds will start flowing by exploiting it #NepalEarthquake	bharat	416	1	1
4/25/2015 16:53:30	592008545727578114	ksubhash567	Did any1 teach u to respect the ones who are working hard or just to play victim? #NepalEarthquake #AdarshLiberal http://t.co/Umo9oOwfIR	no follow backs typing...	35	1	0
4/25/2015 16:53:31	592008546805415936	sarvatragam	Why are evangelists like @RSS_Org being allowed to move around the subcontinent with impunity? Especially during crisis #NepalEarthquake	chasing a pot of gold | capitalist in socialist clothing | what i tweet today is opinion tomorrow | shobar upor manush shotto tahar upore nai	1334	1	1
4/25/2015 16:53:35	592008563452608514	ohsayaa	But human n animal lives, habitat destruction MORE important that religious bldgs - old or new #NepalEarthquake. Buggeroff bigots	a day dreaming creature in the guise of a house wife.	10	1	0
4/25/2015 16:54:27	592008782512816129	nsaraswat	Humble request to the bloody missionaries and the useless internet Hindus to leave religion out of the situation #kthxbai #NepalEarthquake	indian, male, 20 something	136	1	1
4/25/2015 16:56:01	592009179088334848	FBRajput	More than 900 lost their lives in #NepalEarthquake and allamerican media is concerned bout is bruce jenner's transformation! #shame		88	1	0
4/25/2015 17:07:48	592012144314454016	haritasabhyataa	Dark side of a calamity. Looting, child n women trafficking n opportunistic missionaries All of them r a blot on humanity #NepalEarthquake	civil engineer working in water management, renewable energy. biking and politics are my other passions. my tweets are for my pm.	167	1	1
4/25/2015 17:08:07	592012223926575104	rahuldewan	Added this guy @laveypj to a list called "Shameless Christians" whose agenda is to only convert even in face of tragedy. #NepalEarthquake	entrepreneur/ blogger/ drupal/ agile/ open source evangelist/ green activist/ pilgrim / meditator / india. views personal - not of my workplace.	1155	1	1
4/25/2015 17:13:11	592013495903920129	TPrasad_7	Corrected &gt;&gt; @IDRF_US NRIs, plz donate to Hindu charities. "@India_Policy: Evangelical vultures. #NepalEarthquake http://t.co/kR9lKBisep"	follow dharma, period. a hindu, telugu native, engr by edu, it professional by career, indian by heart. rts  endorsements. #health #yoga #natural #politics #it	776	1	0
4/25/2015 17:25:48	592016673344983040	BharatMata_Ki_J	#NepalEarthquake Vultures within Christianity already active in Nepal for soul harvesting. Disgusting!!		30	1	0
4/25/2015 17:26:25	592016825606541312	RamraoKP_	Our Seculars Blaming This govt?? See how they work. kudos @SushmaSwaraj ji... #IndiaWithNepal #NepalEarthquake http://t.co/kQqYuGmgPr	|  | hindu nationalist | | brahmin | |nationfirst | |ram ji bhakt | |member of @bjpindia | #hindusarehumantoo | |bharat mata ki jai| |vandemataram|	1546	1	0
4/25/2015 17:30:37	592017885217697792	luvsachin	And this b**ch @mayaniranjan calls herself a journalist... #Shame #NepalEarthquake http://t.co/gCuvuHtorO	# # # # :  ,	368	1	0
4/25/2015 17:32:33	592018371635384320	yogeshuniyal	During the time of pain &amp; grief.. some are seeing opportunity to convert. Shame. #NepalEarthquake #QuakeNepal https://t.co/eNNNLybCNQ	घोर राजनेतिक , हिन्दू राष्ट्रवादी , हिंदी भाषी।	250	1	0
4/25/2015 17:32:59	592018480146190337	bharatabhakta	Christian missionary vultures around the world: #Pray for Nepal but don't #Prey on the hapless Hindu &amp; Buddhist victims of #NepalEarthquake	#स्वदेशी समर्थक कट्टर हिन्दू राष्ट्रवादी एवं भारत माता का भक्त अर्थात भारतभक्त	1	1	1
4/25/2015 17:37:37	592019644145225729	rajivjournalist	Yes, jihadi elements also trying to sneak in, like this one #NepalEarthquake https://t.co/D8fEAXC2wz	scribe @indiatoday tv. groomed @iimc , patna college. views and opinions expressed are personal! rajiv.journalist[at]https://t.co/n8gnsmamm4	1179	1	1
4/25/2015 17:41:21	592020586605383681	cute_cheeku	Christian Missionaries trying to convert ppl in this moment of grieve :( These ppl deserve death #NepalEarthquake http://t.co/aTMRDxY35l	#engineer #rcb fan, #mufc fan, #force india fan, #proudhindu, #hindunationalist	41	1	1
4/25/2015 17:45:34	592021648225607680	checkoutonce	#NepalEarthquake @kashmir__tweets u are an inhuman religious pervert.... http://t.co/8FDCDYNVYp		13	1	1
4/25/2015 17:46:00	592021756988108800	rapunzal11	doNot donate money2NGOs promoted by #Presstitutes esp @ndtv,donate only2PM relief fund https://t.co/flRbLw9Umm #earthquake #NepalEarthquake	.	31	1	0
4/25/2015 17:50:37	592022917120020480	IndianSanskriti	PLS RT - Let's start &amp; push for new # - #ReportMissionaries in #NepalEarthquake and #India. These illegal soul harvesters MUST b reported		2889	1	0
4/25/2015 17:51:49	592023218921148418	iforangel	Very interesting to see that both disaster #uttarakhand n #NepalEarthquake dahara tower related to lord shiva. Is he angry? Om namah shivay	head digital - language brand bennet coleman & co ltd	204	1	0
4/25/2015 17:52:43	592023446554447872	CholericCleric	The vultures, the hyenas and the chattering monkeys. The missionaries, the press and the #AdarshLiberals #NepalEarthquake	a pruriently beautiful troll.	252	1	0
4/25/2015 17:53:41	592023690667118592	petrolheadremix	Look at how Christian's consider #NepalEarthquake as... If you still believe in so called 'Jesus', FUCK YOU..	aaa a accchhhhhooooòooo ' i'm allergic to bio ' || winner of param beer chakra || views are personal ||	1814	1	1
4/25/2015 17:53:41	592023688821678080	GururajPatil7	#NepalEarthquake #earthquake beware #Nepal soul harvesting vultures are on prowl. @ndtv @johndayal https://t.co/bMWypGBwaA	there is nobody to save you for there is nothing to be saved.	68	1	0
4/25/2015 17:58:44	592024960421351424	RamraoKP_	5starActivists and #AdarshLiberal disappeared.After few days they will come and sit in 5 star hotels and write story on #NepalEarthquake	|  | hindu nationalist | | brahmin | |nationfirst | |ram ji bhakt | |member of @bjpindia | #hindusarehumantoo | |bharat mata ki jai| |vandemataram|	1546	1	0
4/25/2015 18:04:54	592026513492475904	iRohit	#rss provides relief Evangelist does harvesting #NepalEarthquake #jesus	oh well, whatever, nevermind...	67	1	1
4/25/2015 18:08:52	592027508834369536	AKS_Kyastha	Sikhs &amp; Hindu sending Food and other help, Fucking Christian Missionaries looking convert possibilities. #NepalEarthquake	a hotelier - backpacker traveller - reads religious & history books	69	1	1
4/25/2015 18:09:47	592027743275089920	asimplify	It is disgusting how Christian missionaries have already started preying on people's fear in Nepal. Unacceptable! #NepalEarthquake	live and learn.	141	1	1
4/25/2015 18:18:56	592030042009403392	SoulInExile	Sickness #SoulScavengers in #NepalEarthquake https://t.co/yTqF0iln0c	a soul in exile. a kashmiri pandit refugee in india. tech wageslave in bangalore. news freak in general. rts are not endorsements on twitter since 26-12-2008	3060	1	0
4/25/2015 18:20:10	592030356066406401	madmanu	It is quite upsetting to see evangelists talking about how the #NepalEarthquake can be used to spread Jesus's message. Have some shame.	pro governance. take pride in being an indian	131	1	1
